Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),764.19,1.00,21858.00,418775.00,11.00,24.75,88.00,126.00,254.00,838.25,1951.20,3239.60,5904.47,1502.44
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),93069.89,271.00,211885.00,51002299.00,400.47,20981.20,42274.00,62537.25,86232.50,112031.25,175657.40,181578.10,209482.19,47577.89
Usage Total Tokens (tokens),93834.08,287.00,212883.00,51421074.00,424.41,21189.15,42657.00,63396.00,86626.00,113340.50,176034.60,183237.75,210038.95,47854.92

Metric,Value
Benchmark Duration (sec),917.31
Input Token Throughput (tokens/sec),54841.17
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),450.30
Overall Usage Prompt Cache Read % (%),0.00
Request Count,548.00
Request Throughput (requests/sec),0.59
Theoretical Prefix Cache Hit (%),96.13
Total Input Sequence Length (tokens),51002299.00
Total Output Sequence Length (tokens),418775.00
Total Output Tokens (tokens),418775.00
Total Token Throughput (tokens/sec),55291.47
Total Usage Completion Tokens (tokens),418775.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),51002299.00
Total Usage Total Tokens (tokens),51421074.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
