Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),87285.03,271.00,227715.00,22519538.00,399.14,22454.25,33181.50,57214.00,83135.00,106052.25,171601.00,176665.80,207099.22,45658.08
Usage Total Tokens (tokens),87827.12,285.00,227818.00,22659397.00,418.71,22668.95,33338.60,57352.00,83415.00,106503.50,172028.30,177381.50,208751.67,45964.70

Metric,Value
Benchmark Duration (sec),911.36
Input Token Throughput (tokens/sec),23956.90
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),148.79
Overall Usage Prompt Cache Read % (%),0.00
Request Count,258.00
Request Throughput (requests/sec),0.27
Theoretical Prefix Cache Hit (%),95.46
Total Input Sequence Length (tokens),22519538.00
Total Output Sequence Length (tokens),139859.00
Total Output Tokens (tokens),139859.00
Total Token Throughput (tokens/sec),24105.69
Total Usage Completion Tokens (tokens),139859.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),22519538.00
Total Usage Total Tokens (tokens),22659397.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
