Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),102456.83,98301.00,109863.00,614741.00,98326.80,98430.00,98559.00,98914.00,99399.00,106619.75,109412.50,109637.75,109817.95,4940.71
Usage Total Tokens (tokens),102722.00,98441.00,110346.00,616332.00,98465.00,98561.00,98681.00,99045.50,99575.00,107038.25,109910.00,110128.00,110302.40,5104.66

Metric,Value
Benchmark Duration (sec),57.33
Input Token Throughput (tokens/sec),6830.37
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),17.68
Overall Usage Prompt Cache Read % (%),0.00
Request Count,6.00
Request Throughput (requests/sec),0.07
Theoretical Prefix Cache Hit (%),99.51
Total Input Sequence Length (tokens),614741.00
Total Output Sequence Length (tokens),1591.00
Total Output Tokens (tokens),1591.00
Total Token Throughput (tokens/sec),6848.05
Total Usage Completion Tokens (tokens),1591.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),614741.00
Total Usage Total Tokens (tokens),616332.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
